"","Year","ID_IPEDS","degree_bach","public","enroll_ftug","grant_federal","grant_state"
"317",2012,445249,0,0,110,386103,7667
"318",2012,448664,0,0,107,434443,7335
"319",2012,449010,1,0,238,748273,268183
"320",2012,449764,1,0,22,13800,17000
"321",2012,450535,1,0,7,36382,0
"322",2012,452124,0,0,59,283443,4973
"323",2012,455567,0,0,41,201574,500
"324",2012,456940,0,0,47,177687,0
"325",2013,219505,1,0,15,50527,2000
"326",2013,219578,1,0,34,56441,80750
"327",2013,219602,1,1,1237,3015287,4511451
"328",2013,219639,1,0,88,217878,504119
"329",2013,219709,1,0,1243,1007300,1464100
"330",2013,219718,1,0,550,1661541,1092762
"331",2013,219790,1,0,187,431712,597326
"332",2013,219806,1,0,478,962409,1890173
"333",2013,219824,0,1,1168,3322756,1128273
"334",2013,219833,1,0,264,519691,1079400
"335",2013,219879,0,1,689,1982464,1147818
"336",2013,219888,0,1,781,1778536,1176008
"337",2013,219903,0,0,1459,5736657,245585
"338",2013,219921,0,1,101,404088,187711
"339",2013,219949,1,0,212,421666,731600
"340",2013,219976,1,0,683,703983,1532650
"341",2013,219994,0,1,411,836874,530349
"342",2013,220002,1,0,13,51350,2000
"343",2013,220057,0,1,419,1282650,607736
"344",2013,220075,1,1,1849,4078397,6432873
"345",2013,220118,0,0,26,74666,11583
"346",2013,220127,0,1,592,1420005,528952
"347",2013,220181,1,0,217,615251,192500
"348",2013,220206,1,0,62,179553,69500
"349",2013,220215,1,0,355,577249,908517
"350",2013,220251,0,1,380,813570,312900
"351",2013,220279,0,1,237,358543,229700
"352",2013,220312,1,0,82,249904,204561
"353",2013,220321,0,1,243,898698,310329
"354",2013,220394,0,1,93,473294,189000
"355",2013,220400,0,1,748,2247325,1022402
"356",2013,220464,0,0,21,36128,17925
"357",2013,220473,1,0,162,381463,302146
"358",2013,220516,1,0,241,431495,430939
"359",2013,220552,1,0,183,632537,335228
"360",2013,220598,1,0,405,2198587,366964
"361",2013,220604,1,0,159,443176,104561
"362",2013,220613,1,0,808,1200258,1713319
"363",2013,220631,1,0,185,477994,845279
"364",2013,220640,0,1,287,625449,241042
"365",2013,220701,1,0,335,584510,581500
"366",2013,220710,1,0,349,840405,1300500
"367",2013,220756,0,1,96,195372,96310
